Date,Close,High,Low,Open,Volume
2019-01-02,94.39716339111328,94.98527604985091,92.36209773238227,92.93154320034118,35329300
2019-01-03,90.92445373535156,93.52896405559065,90.73774627455798,93.4449439176932,42579100
2019-01-04,95.1532974243164,95.69473847770364,92.35274909292929,93.09022767485408,44060600
2019-01-07,95.2746353149414,96.40418875666435,94.26644350456684,94.88256032634231,35656100
2019-01-08,95.9654541015625,97.05766618568377,94.9479178896194,96.1894959624217,31514400
2019-01-09,97.33772277832031,97.90716818175943,96.37620231347934,96.95498487233168,32280800
2019-01-10,96.71227264404297,96.85230149231991,95.57338179056309,96.35753906761607,30067600
2019-01-11,95.9654541015625,96.56290381196195,94.88257205011203,96.3295247962696,28314200
2019-01-14,95.26531982421875,96.03080273305875,94.52784125853005,95.12529098629969,28437100
2019-01-15,98.02852630615234,98.06586780429797,95.10661639517912,95.6947360882696,31587600
2019-01-16,98.37393188476562,99.1954306763425,97.98185680087477,98.26191450203291,29853900
2019-01-17,99.06474304199219,99.54083118244559,97.79516042312282,98.01920231993404,28393000
2019-01-18,100.54901885986328,100.72638919898468,98.86869414340933,100.3156398335089,37427600
2019-01-22,98.65399169921875,99.97958298581506,97.88850870477378,99.65285374224038,32371300
2019-01-23,99.61550903320312,99.92357107672707,98.33658932419233,99.0647379149298,25874300
2019-01-24,99.139404296875,99.8862200055949,98.33657990275798,99.75552832489328,23164800
2019-01-25,100.04491424560547,100.70770979225229,99.13940252962695,100.11026008479142,31225600
2019-01-28,98.0938949584961,99.4008192088601,97.70181982003615,99.19544448238179,29476700
2019-01-29,96.09616088867188,97.99119765448269,95.37734941891803,97.90717749209949,31490500
2019-01-30,99.30743408203125,99.30743408203125,97.3937304673391,97.66445097444586,49471900
2019-01-31,97.48709869384766,98.22457735893607,96.32020342418184,96.89898604191494,55636400
2019-02-01,95.94678497314453,97.17902595765626,95.5453727595904,96.88030108632502,35535700
2019-02-04,98.70999908447266,98.76601489846026,95.93745488455511,96.03081220048003,31315100
2019-02-05,100.09159851074219,100.13827004297114,98.91536621726684,99.00871640388745,27325400
2019-02-06,98.98072052001953,99.88623236417548,98.51396242485984,99.88623236417548,20609800
2019-02-07,98.2712631225586,98.5699880699511,97.35642108711603,98.19658722733386,29760700
2019-02-08,98.64463806152344,98.74732539551324,97.32838415099563,97.44973867200079,21461100
2019-02-11,98.25257110595703,99.49414924825398,97.9911877332972,99.13940856636185,18914100
2019-02-12,99.78353118896484,100.01691020421121,98.46727724649973,99.08339414322573,25056600
2019-02-13,99.7088623046875,100.61437415152945,99.61551210981132,100.35299075701082,18394900
2019-02-14,99.79287719726562,100.15694792357682,98.63531917315214,99.2420989688955,21784700
2019-02-15,101.02511596679688,101.09979896595313,100.22229153127412,100.73572824776988,26606900
2019-02-19,100.97843170166016,101.4358597044565,100.61436100370382,100.6236981586203,18038500
2019-02-20,100.45343780517578,101.19406595920144,99.64718473383542,101.11906401010476,21607700
2019-02-21,102.57218170166016,102.63780660958672,100.19092380284445,100.21904774158747,29063200
2019-02-22,104.03468322753906,104.2503048585655,102.95655361467142,103.17218239827633,27763200
2019-02-25,104.6159439086914,105.16907433232286,104.30657339140473,104.77532483571842,23750600
2019-02-26,105.33781433105469,106.16281421347584,104.22218371922284,104.30656268988359,21536700
2019-02-27,105.15969848632812,105.33782632600104,103.95031888805423,104.709701100158,21487100
2019-02-28,105.02845001220703,105.82532605632403,104.74720343035492,105.03782704404264,29083900
2019-03-01,105.49720001220703,105.95657442969933,104.69094694737922,105.83470162783632,23501200
